News_ID,News
21,"Les démocrates ont ""utilisé le COVID pour tricher"" lors de l'élection de 2020."
22,"""Le représentant Dean Phillips a reçu presque deux fois plus de voix que Biden lors de la primaire du New Hampshire."""
23,"""Les immigrés illégaux ont désormais le droit de vote à New York."""
24,"""Nikki Haley s'est « opposée au mur frontalier de Trump » et à « l'interdiction de voyage de Trump »."""
25,"""Nikki Haley n'est pas éligible pour être présidente ou vice-présidente."""
26,"""Mélissa Agard a déclaré le 17 octobre 2023 lors d'une apparition publique : « Depuis 1981, le Sénat de l'État n'a rejeté que cinq nominations exécutives. Le Parti républicain aujourd'hui double plus que ce nombre. »"""
27,"Paul Ryan a déclaré le 23 février 2023 lors d'une interview télévisée : ""Les électeurs suburbains du comté de WOW (dans le Wisconsin) ne votent pas pour Donald Trump."""
28,"Ron DeSantis a déclaré le 2 janvier 2024 lors d'une réunion publique : Donald Trump ""a expulsé moins, croyez-le ou non, que Barack Obama lui-même."""
29,"« Nikki Haley a déclaré le 14 décembre 2023 lors d'une assemblée publique à Atkinson, New Hampshire : ""Nous avons eu plus d'Américains morts de fentanyl que des guerres d'Irak, d'Afghanistan et du Vietnam réunies."" »"
30,"Chris Larson a déclaré le 10 septembre 2021 sur Twitter : La législature contrôlée par le GOP a ""refusé d'agir sur au moins 150"" nominations du gouverneur Tony Evers."
31,« Joe Biden ou Donald Trump s'est retiré de la course présidentielle de 2024 au 15 février. »
32,"Elon Musk a déclaré le 2 février 2024 dans un post sur X : la stratégie de Biden est de ""faire entrer autant d'illégaux que possible dans le pays"" et de ""les légaliser pour créer une majorité permanente."""
33,"« La dernière fois que les démocrates ont retiré un républicain du bulletin de vote, c'était Abraham Lincoln en 1860 »"
34,"« Donald Trump a déclaré le 15 janvier 2024 dans un discours après le caucus de l'Iowa : ""C'est la troisième fois que nous gagnons, mais c'est la plus grande victoire"" au caucus de l'Iowa. »"
35,Donald Trump a déclaré le 16 décembre 2023 lors d'un rassemblement dans le New Hampshire : « Ils veulent rendre nos chars d'assaut entièrement électriques. »
36,Donald Trump a déclaré le 4 décembre 2023 dans un message sur Truth Social : Le Lincoln Project utilise l'IA (intelligence artificielle) dans ses « publicités télévisées ».
37,"""Le 7 novembre 2023, les machines à voter en Pennsylvanie « inversaient les votes », ce qui est une preuve de « fraude électorale »."""
38,« Poutine a-t-il dit qu'il préférait Biden à Trump pour l'élection présidentielle américaine de 2024 ? »
39,"Roy Cooper a déclaré le 24 août 2023 dans une déclaration de veto : ""Le projet de loi électoral rédigé par le GOP exige que des votes valides soient rejetés ... si un ordinateur rejette une signature."""
40,"Donald Trump a déclaré le 15 août 2023 dans un message sur Truth Social : ""La procureure du comté de Fulton, Fani Willis, a fait campagne et collecté des fonds en disant : 'Je vais avoir Trump.'"""
41,"The translation of the headline into French is: ""Un rapport de la police révèle une « fraude électorale massive de 2020 découverte dans le Michigan »."""
42,"The headline in French would be: ""La représentante Alexandria Ocasio-Cortez risque 5 ans de prison pour des infractions à la FEC."""
43,"""L'Arizona INTERDIT les machines à voter électroniques."""
44,"Un juge de l'Arizona a été ""contraint d'annuler"" une élection et a décidé que ""274 000 bulletins de vote doivent être rejetés""."
45,"Donald Trump a déclaré le 30 avril 2023 dans un message sur Truth Social : ""Un projet de loi électorale en Floride « sabote tout » « au lieu de se montrer ferme et de faire ce que le peuple veut (vote le jour même, pièce d'identité de l'électeur, preuve de citoyenneté, bulletins papier, comptage manuel, etc.). »"""
46,Le tweet de Joe Biden prouve qu'un crash d'hélicoptère ayant tué six milliardaires nigérians a été planifié par Biden.
47,"Donald Trump a déclaré le 2 janvier 2024 dans un message sur Truth Social : ""En réalité, il n'y a aucune preuve que Joe Biden a gagné"" l'élection de 2020, citant les allégations d'un rapport provenant de cinq États clés."
48,"""L'administratrice des élections du Wisconsin, Meagan Wolfe, a « permis l'influence de l'argent 'Zuckerbucks'. »"""
49,"Joe Biden a déclaré le 7 janvier 2021 dans un discours : « Dans plus de 60 affaires, les juges ont examiné les allégations que Trump faisait et ont déterminé qu'elles étaient sans fondement. »"
50,"« Trump a-t-il dit que ce serait un 'bain de sang pour le pays' s'il n'était pas élu ? Trump a parlé des tarifs commerciaux avec la Chine lors d'un rassemblement de campagne à Dayton, Ohio, le 16 mars 2024. »"
51,"""Trump a désigné la presse et les a qualifiés de 'criminels' lors d'un rassemblement de campagne à Rome, en Géorgie. L'ancien président américain Donald Trump a fait cette remarque lors d'une étape de campagne présidentielle en mars 2024."""
52,"""Déclaré le 8 mars 2024 dans un post Instagram : L'élection de 2020 a été la seule fois dans l'histoire américaine qu'une élection a pris plus de 24 heures à être comptée."""
53,déclaré le 7 mars 2024 dans un message sur X : Les milliardaires ont « truqué » l'élection primaire du Sénat de Californie par des « moyens malhonnêtes ».
54,"""Déclaré le 28 février 2024 dans un post Instagram : Une vidéo montre Kamala Harris disant que les démocrates utiliseraient l'argent des contribuables pour soudoyer les électeurs."""
55,"« Donald Trump a déclaré le 2 mars 2024 dans un discours : ""Quatre-vingt-deux pour cent du pays comprend que (l'élection de 2020) était une élection truquée."" »"
56,"Elon Musk a déclaré le 26 février 2024 dans un post sur X : Les démocrates ne renvoient pas les migrants sans papiers ""parce que chaque clandestin est très probablement un vote à un moment donné."""
57,"""Quand Trump était en fonction, la croissance de l'emploi aux États-Unis était la pire depuis la Grande Dépression ?"""
58,"""Est-ce que Biden est le 1er président américain à 'éviter' un test cognitif ?"""
59,« Jack Posobiec a parlé à la CPAC de vouloir renverser la démocratie ? »
60,"« De Niro a-t-il qualifié l'ancien président Trump de 'méchant' 'pseudo-dur' sans 'morale ni éthique' ? Dans une déclaration ressortie lors du sommet Stop Trump de The New Republic, l'acteur De Niro a qualifié Trump de ""méchant"", sans ""aucun égard pour quiconque sauf lui-même"". »"
61,"""Les Super PACs pour Trump et RFK Jr. partagent-ils le même principal donateur ? Les PACs en question sont Make America Great Again Inc. et American Values Inc."""
62,"""Trump a tiré profit de la société God Bless the USA Bible qui vend des bibles à 59,99 $ ? « Tous les Américains ont besoin d'une bible chez eux et j'en ai beaucoup. C'est mon livre préféré. C'est le livre préféré de beaucoup de gens », a déclaré Trump dans une vidéo."""
63,"""Google a-t-il changé sa définition de 'bain de sang' après que Trump l'a utilisé dans un discours ? Les utilisateurs des réseaux sociaux ont concocté une théorie du complot pour contrer les critiques de l'utilisation du mot par Trump."""
64,"Here is the translation of the headline into French:

""La « boîte noire » du navire Dali a cessé d'enregistrer « juste avant » la collision avec le pont de Baltimore, puis a recommencé à enregistrer « juste après »."""
65,Kristi Noem a déclaré le 30 mars 2024 dans un message sur X : « Joe Biden a interdit les œufs à thème religieux au concours de décoration d'œufs de Pâques pour enfants à la Maison-Blanche. »
66,Le compte X de Biden a-t-il partagé une date incorrecte pour le discours sur l'état de l'Union ? Une capture d'écran montre le compte partageant une date de 2023 pour le discours de 2024.
67,"Vidéo authentique de Trump ne faisant que partiellement semblant de réciter les mots de la prière du Seigneur ? ""Il n'est pas plus un véritable chrétien qu'il n'est un véritable républicain. Il n'a aucun principe"", a commenté un utilisateur sur le tweet viral."
68,"""Une image montre authentiquement Travis Kelce portant un t-shirt avec l'inscription 'Trump a gagné'."""
69,"""Le principal donateur d'un super PAC majeur soutenant Donald Trump pour la présidence en 2024 est également le principal donateur du super PAC soutenant Robert F. Kennedy Jr. pour la présidence."""
70,"""Les familles des émeutiers du Capitole espèrent grâce à la promesse de grâce de Trump"""
71,"""Le leader républicain relance l'aide à l'Ukraine, le président de la Chambre Mike Johnson a un plan pour couvrir les coûts - mais il essaie aussi de conserver son pouvoir."""
72,"""Trump publie une vidéo d'un camion montrant Biden ligoté comme un cochon, la campagne de Biden condamne la vidéo, accusant Donald Trump d'« inciter régulièrement à la violence politique »."""
73,"""Trump visite la veillée d'un policier abattu en service, L'ancien président a assisté aux funérailles alors qu'un débat sur la sécurité publique et la criminalité s'intensifie dans certaines grandes villes."""
74,"Here is the translation of the headline into French:

""NBC News revient sur l'embauche d'une haute responsable républicaine, Ronna McDaniel n'a passé que quatre jours en tant que nouvelle analyste politique du réseau américain après avoir fait face à une réaction négative."""
75,"""Le ministère de la Justice ne remettra pas l'enregistrement de l'interview de Biden avec le procureur spécial Hur, risquant un outrage au Congrès."""
76,"""La position de Trump sur l'avortement suscite des réactions de l'un de ses plus grands partisans"""
77,"""Pence critique l'annonce de Trump, qualifiée de 'gifle' sur une question clé pour les électeurs chrétiens. Pence, un champion du conservatisme social, a affirmé que l'annonce de Trump sur l'avortement était un 'recul sur le droit à la vie'."""
78,"« Le Wisconsin devient le 28e État à adopter une interdiction des 'Zuckerbucks' avant l'élection de 2024, le Wisconsin est désormais le 28e État à interdire effectivement les 'Zuckerbucks'. »"
79,"""L'ACLU menace de poursuivre la Géorgie en justice à propos d'un projet de loi électoral que les conservateurs qualifient de réforme de 'bon sens', le projet de loi électoral de Géorgie pourrait favoriser des candidats indépendants comme RFK Jr et faciliter les audits des listes électorales."""
80,"""Le principal candidat à la vice-présidence de Trump prévoit un mariage d'été quelques semaines après la convention républicaine, le mariage prévu de Scott avec sa fiancée Mindy Noce aurait lieu peu après la Convention nationale républicaine."""
81,"« No Labels contacte un ancien candidat républicain à la présidence concernant leur ticket tiers en attente, Christie déclare dans une interview de podcast qu'« à ce stade, je n'exclurais rien » en ce qui concerne une possible candidature à la Maison-Blanche en tant que tiers parti. »"
82,"""Trump remporte les primaires présidentielles républicaines du 19 mars, le face-à-face Biden-Trump de novembre est la première revanche électorale présidentielle depuis 1956"""
83,"Les soutiens de Trump salués comme « les plus puissants... de l'histoire politique moderne » après des victoires dans l'OH, l'IL, la CA. L'ancien président Trump aide Bernie Moreno à remporter une victoire lors d'une primaire républicaine pour le Sénat dans l'Ohio, opposant les républicains MAGA aux conservateurs traditionnels."
84,"""Trump déclare que les Américains juifs qui votent pour Biden n'aiment pas Israël et 'devraient être interpellés'"""
85,"""Elizabeth Warren suggère que les actions d'Israël à Gaza pourraient être qualifiées de génocide par les tribunaux internationaux"""
86,"""Le FBI arrête un homme qui aurait prêté allégeance à l'État islamique et planifié des attaques contre des églises de l'Idaho, selon le ministère de la Justice."""
87,"""Le procureur spécial Jack Smith exhorte la Cour suprême à rejeter la demande d'immunité de Trump"""
88,"""Le ministre britannique des Affaires étrangères, David Cameron, rencontre Trump avant sa visite à Washington, mardi 9 avril 2024"""
89,"""Le juge rejette la demande de Trump de reporter le procès et d'envisager un changement de lieu dans l'affaire des paiements dissimulés"""
90,"""Byron Donalds, potentiel choix pour la vice-présidence, a autrefois attaqué Trump et loué la délocalisation ainsi que la privatisation des droits sociaux"""
91,"Le candidat républicain pour diriger les écoles publiques de Caroline du Nord a appelé à la violence contre les démocrates, y compris l'exécution d'Obama et de Biden."
92,Joe Biden a promis d'« accueillir » 2 millions de demandeurs d'asile « en un clin d'œil » en 2019 - il fait maintenant face à une crise migratoire.
93,"""Le favori probable pour la présidence du RNC a répété les mensonges de Trump sur l'élection de 2020"""
94,"""Candidat républicain au Sénat de l'Ohio soutenu par Trump a supprimé des tweets critiques envers l'ancien président"""
95,"""Trump défend un ancien influenceur condamné pour ingérence électorale ayant un passé raciste et antisémite"""
96,"""Une publicité de campagne de Biden accuse Trump de la quasi-mort d'une femme à qui l'avortement a été refusé. La publicité résume la stratégie de la campagne du président pour exploiter la colère suscitée par la décision de la Cour suprême de 2022 d'annuler Roe v. Wade."""
97,"""Biden et d'autres démocrates lient Trump aux restrictions sur les droits à l'avortement. L'ancien président a déclaré qu'il soutenait le fait de laisser les décisions sur l'avortement aux États, mais ses opposants politiques affirment qu'il est responsable de toute limitation mise en place."""
98,"Les alliés de Trump ont un plan pour nuire aux chances de Biden : promouvoir des candidats outsiders. Plus il y a de candidats en lice, mieux c'est pour Donald J. Trump, disent ses partisans. Et dans une élection présidentielle serrée, une petite part d'électeurs pourrait changer le résultat."
99,"""Biden vante les dépenses proposées pour l'« économie des soins », le président Biden annonce un nouveau plan de soulagement des prêts étudiants fédéraux lors d'une visite à Madison, dans le Wisconsin, lundi. (Kevin Lamarque/Reuters)"""
100,"""Biden et Trump partagent une foi dans les tarifs d'importation, malgré les risques d'inflation. Les plans commerciaux des deux candidats se concentrent sur les tarifs sur les biens importés de Chine, même si les économistes avertissent qu'ils pourraient entraîner une hausse des prix."""
101,"""Biden, en tant que président et patriarche, fait face au procès de son fils : le procès de Hunter Biden commence lundi pour des accusations de mensonge sur un formulaire officiel lors de l'achat d'une arme en 2018."""
102,"Voici ce qu'il faut savoir sur le procès de Hunter Biden qui commence lundi : le fils du président Biden, Hunter, est accusé devant un tribunal fédéral du Delaware d'avoir fait de fausses déclarations lors de l'achat d'une arme à feu et de possession illégale de cette arme."
103,"""Trump affirme à tort qu'il n'a jamais demandé qu'Hillary Clinton soit emprisonnée, « Enfermez-la » est peut-être l'un des slogans les plus populaires parmi les partisans de Trump, et il l'a approuvé ou a explicitement demandé son emprisonnement à plusieurs reprises."""
104,"""4 enseignements à tirer des conséquences du verdict de culpabilité de Trump : Le pays est entré dans une phase délicate. Cela devient déjà laid, et cela ne montre aucun signe d'arrêt."""
105,"""Trump et ses alliés intensifient les suggestions de procès truqué — avec de mauvaises preuves, et ce n'est pas seulement la fausse affirmation selon laquelle le jury n'a pas besoin d'être unanime à propos de ses crimes."""
106,"""En 2016, Trump a raillé les faveurs pour les donateurs. Aujourd'hui, il veut conclure un 'accord'. L'ancien président a critiqué les « faveurs » que les politiciens faisaient pour l'argent des campagnes à l'époque, mais aujourd'hui, il négocie avec ses propres faveurs."""
107,"""Pourquoi la référence à la prison par un avocat de Trump était si ‘scandaleuse’ : l'avocat de Trump, Todd Blanche, a fait une référence évidente au jury envoyant Trump en prison lors de son argumentation finale. Non seulement de telles choses ne sont pas autorisées, mais Blanche avait été explicitement averti de ne pas le dire."""
108,"""Les manifestations pro-palestiniennes dans les universités n'ont pas conquis les cœurs et les esprits, de nombreux Américains y voient de l'antisémitisme."""
109,"""Le vice-président du RNC, Lara Trump, attaque Hogan pour avoir appelé au respect du processus légal. Lors d'une apparition sur CNN, Lara Trump ne s'engage pas à ce que le Comité national républicain finance la candidature de Hogan au Sénat après son commentaire sur le verdict."""
110,"""Après la condamnation de Trump, de nombreux Républicains se rallient en critiquant le procès. Plutôt que d'exprimer leur confiance dans le système judiciaire, de nombreux Républicains reprennent les critiques de Trump et ses allégations de persécution politique concernant son procès pour paiement de silence."""
111,"""Les liens de l'éditeur d'un site d'actualités avec l'Iran et la Russie montrent la complexité de la désinformation. Des dossiers piratés révèlent que des médias en Iran et en Russie ont effectué des paiements à une poignée de résidents américains."""
112,"""Les démocrates évaluent les liens locaux et la notoriété anti-Trump dans la primaire pour le siège de Spanberger, Eugene Vindman, connu pour le premier impeachment de Trump, affronte plusieurs responsables locaux bien connectés dans la primaire démocrate du 7e district du Congrès de Virginie."""
113,"""Pour Hunter Biden, une journée dramatique avec la veuve de son frère a conduit à des accusations. Il y a six ans, Hallie Biden a jeté une arme à feu que les procureurs disent que Hunter Biden a achetée de manière inappropriée. Son procès commence lundi."""
114,"""Le verdict de Trump justifie le procureur de New York qui a discrètement suivi une voie risquée, le procureur du district de Manhattan, Alvin Bragg, a marqué l'histoire avec une affaire judiciaire que les procureurs fédéraux ont choisi de ne pas engager contre l'ancien président Donald Trump."""
115,"""Démocrates envisagent de lier les candidats républicains au verdict sur l'argent secret de Trump. En 2018, lorsqu'ils ont surfé sur une vague pour obtenir la majorité, les démocrates de la Chambre ont évité les scandales personnels de Trump dans leurs campagnes. Maintenant, ils font face au même dilemme."""
116,"""Pour Michael Cohen et Stormy Daniels, un moment de 'réhabilitation' enfin, L'ex-avocat et l'ancienne actrice de films pour adultes ont formé l'axe improbable de la toute première affaire pénale contre un président américain."""
117,"""Les investisseurs, inquiets de ne pas pouvoir battre les législateurs sur le marché boursier, les imitent à la place. Une alliance informelle d'investisseurs, d'analystes et de défenseurs tente de permettre aux Américains d'imiter les transactions effectuées par les élus — mais seulement après qu'ils les aient divulguées."""
118,"""Trump condamné, son affaire se tourne vers la condamnation et les appels, des procédures cruciales restent à venir. On ne sait pas comment sa peine pourrait influencer la campagne, et le processus d'appel devrait se prolonger au-delà du jour de l'élection."""
119,"""Trump et ses alliés pensent que les condamnations pénales joueront en sa faveur. L'ancien président prévoit d'utiliser l'affaire de l'argent secret de New York pour augmenter le soutien et se présenter comme la victime de charges motivées politiquement."""
120,"""Le chien de garde de la Sécurité sociale en difficulté démissionne après un mandat tumultueux, l'inspectrice générale de la Sécurité sociale Gail Ennis a informé le personnel qu'elle démissionne, clôturant un mandat tumultueux de cinq ans en tant que principale surveillante de l'agence."""
121,"""Bien que Trump soit reconnu coupable, ses attaques pèsent sur le système judiciaire. Le premier procès pénal d'un ancien président a été un défilé de témoignages sordides sur Donald Trump. Il l'a utilisé pour lancer une attaque contre le système judiciaire."""
122,"""Les électeurs qui ont tenté d'inverser la défaite de Trump en 2020 sont prêts à servir à nouveau"""
123,"""Les challengers républicains progressent mais échouent à évincer l'extrême droite dans le nord de l'Idaho"""
124,"""Voici qui a été inculpé dans l'affaire d'ingérence électorale de 2020 en Arizona"""
125,"""Rudy Giuliani et d'autres alliés de Trump plaident non coupables en Arizona"""
126,"""L'avocat pro-Trump John Eastman plaide non coupable aux accusations en Arizona"""
127,"""Rudy Giuliani n'a toujours pas reçu son acte d'accusation en Arizona"""
128,"""La plus haute cour du Wisconsin indique qu'elle rétablira les boîtes de dépôt de bulletins de vote"""
129,"""Dans les principales courses, les républicains essaient de rester discrets sur les fausses affirmations de Trump concernant 2020"""
130,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE, le procès sans précédent de Trump est banal pour certains électeurs indécis"""
131,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE : Comment Rudy Giuliani a tenté, et échoué, d'éviter sa dernière inculpation"""
132,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE, Fani Willis fait campagne pour garder son poste — et continuer à poursuivre Trump"""
133,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE, L'avocat pro-Trump John Eastman plaide non coupable aux accusations en Arizona"""
134,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE, Rudy Giuliani n'a toujours pas reçu son acte d'accusation en Arizona"""
135,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE, Meadows, Giuliani et d'autres alliés de Trump inculpés dans l'enquête sur l'élection de 2020 en Arizona"""
136,"""ENQUÊTE SUR L'ÉLECTION DE 2020 EN GÉORGIE, Gateway Pundit va déposer le bilan au milieu des poursuites pour complot électoral"""
137,"""Trump insiste sur le fait que son procès a été truqué… comme tout le reste"""
138,« Samuel Alito a décidé que Samuel Alito est suffisamment impartial »
139,La campagne de Biden s'immisce dans la frénésie médiatique du procès de Trump avec De Niro devant le tribunal.
140,"""Trump soutient le sénateur de l'État de Virginie McGuire plutôt que Bob Good pour le Congrès"""
141,"""Un ancien combattant de la marine qui a porté une hache lors de l'émeute du 6 janvier écope d'une peine de deux ans"""
142,"""Les républicains ont une nouvelle théorie sur les raisons pour lesquelles Biden devrait être destitué"""
143,"""Un tribunal de D.C. suspend temporairement la licence d'avocat de John Eastman, l'avocat de Trump"""
144,"« Hope Hicks a été témoin de presque tous les scandales de Trump. Maintenant, elle doit témoigner. »"
145,"""Un homme du Texas condamné à cinq ans de prison et à une amende de 200 000 $ dans l'affaire de l'émeute du 6 janvier"""
146,"« Ignorer l'honneur du vote de 2024, la violence politique et le 6 janvier »"
147,"""Le vote des non-citoyens est extrêmement rare. Les républicains s'y concentrent quand même."""
148,"""En Arizona, les travailleurs électoraux formés avec des deepfakes pour se préparer à 2024"""
149,La vidéo « Access Hollywood » a renforcé l'air d'invincibilité de Trump.
150,"""L'accusée de l'Arizona, Christina Bobb, joue un rôle clé dans l'équipe d'intégrité électorale du RNC"""
151,"""Meadows, Giuliani et d'autres alliés de Trump inculpés dans l'enquête sur l'élection de 2020 en Arizona"""
152,"""Le juge libéral de la Cour suprême du Wisconsin ne se représentera pas, bouleversant la course pour le contrôle"""
153,"""Les nouvelles lois électorales dans les États clés pourraient façonner l'élection de 2024"""
154,"""Wisconsin devient le dernier État à interdire le financement privé des élections"""
155,"""La Caroline du Sud est le dernier État à utiliser une carte électorale jugée illégale"""
156,"""Kari Lake ne défendra pas ses déclarations sur le responsable des élections en Arizona"""
157,"""Des responsables fédéraux déclarent que 20 personnes ont été inculpées pour avoir menacé des travailleurs électoraux."""
158,"""Encouragés par Trump, les Républicains prévoient une offensive de poursuites judiciaires liées aux élections"""
159,"""Un ancien responsable électoral de Milwaukee condamné pour fraude aux bulletins de vote par correspondance"""
160,"""Les perturbations pro-Trump dans un comté de l'Arizona alimentent les craintes pour le vote de 2024"""
161,"""Certains étudiants trouvent plus difficile de voter en raison des nouvelles lois républicaines"""
162,"""Élection 2024 dernières nouvelles : Les républicains cherchent à se venger de la condamnation de Trump dans l'affaire des paiements dissimulés"""
163,"""Trump affirme à tort qu'il n'a jamais demandé qu'Hillary Clinton soit emprisonnée"""
164,"""Le président Biden publie une déclaration alors que Hunter fait face à des accusations criminelles pour possession d'arme à feu, une première historique"""
165,"""Fauci interrogé sur la science derrière l'obligation pour les enfants de 2 ans de porter des masques"""
166,"""Une destination touristique choque le monde en changeant ses lois pour interdire l'entrée des Juifs dans le pays"""
167,"""Hôtel près de Disney reçoit un avertissement des parents concernant une décoration de la Fierté inappropriée"""
168,"""Kathy Griffin subit encore les conséquences de la photo macabre de Trump 7 ans plus tard"""
169,"""Les prévenus sans avocat doivent être libérés de prison, selon la décision du tribunal"""
170,"""Les enquêteurs sur la COVID pressent Fauci sur le manque de données 'scientifiques' derrière les règles de la pandémie"""
171,"""Un historien présidentiel avertit qu'un second mandat de Trump conduirait à une ‘dictature et à l'anarchie’"""
172,"Netanyahu affirme que Biden a présenté une version ""incomplète"" du cessez-le-feu à Gaza."
173,"""Démocrate de la Chambre annonce un diagnostic de santé sévère, dit qu'elle 'suit un traitement'"""
174,"""Biden utilise des milliards de dollars de votre argent pour s'acheter des voix"""
175,"""Trump promet de prendre des mesures contre les généraux qui poussent à la 'wokeness'"""
176,"""Les démocrates et les progressistes qui se réjouissent du verdict de Trump devraient plutôt pleurer cette perte."""
177,"""Les Maldives interdisent l'entrée des Israéliens dans le pays pendant la guerre à Gaza"""
178,"""Les dirigeants républicains du Texas réagissent au nouveau président et aux propositions politiques radicales pour l'État de l'Étoile Solitaire"""
179,"""Le verdict de culpabilité de Trump révèle une division parmi les anciens adversaires des primaires présidentielles républicaines."""
180,"The headline in French would be: ""Un journaliste de CNN avertit que les sondages de Biden en tant que titulaire dans la primaire présidentielle sont historiquement 'faibles, faibles, faibles'""."
181,Le rival de campagne de Trump hésite entre voter pour lui ou pour Biden.
182,"""Brian Jack, soutenu par Trump, accède au second tour de la primaire républicaine en Géorgie"""
183,"""Signes d'avertissement pour Biden et Trump alors qu'ils se dirigent vers les débats présidentiels"""
184,"""Trump dément un rapport affirmant que Nikki Haley est 'envisagée' pour le rôle de vice-présidente : 'Je lui souhaite bonne chance !'"""
185,"""Nikki Haley va remercier les donateurs, mais le dernier rival républicain de Trump ne devrait pas soutenir l'ancien président"""
186,"""L'aptitude du sénateur à lever des fonds pourrait être un atout gagnant pour le choix du colistier de Trump"""
187,"""Alors que la nomination du DNC est fixée après la date limite de l'Ohio, les législateurs négocient pour s'assurer que Biden figure sur le bulletin de vote"""
188,"""RFK Jr dénonce l'étiquette de 'trouble-fête', rejette les préoccupations de loyauté envers le parti démocrate : 'J'essaie de nuire aux deux' candidats"""
189,"""Verrouillage : Biden décroche la nomination présidentielle démocrate de 2024 lors des primaires de mardi"""
190,"""Verrouillage : Trump et Biden devraient décrocher les nominations présidentielles républicaine et démocrate lors des primaires de mardi"""
191,"""Biden retourne dans l'État clé qu'il a ignoré lors des primaires présidentielles"""
192,"""Dean Phillips met fin à sa candidature improbable contre Biden pour l'investiture présidentielle démocrate"""
193,"""Qui est Jason Palmer, le candidat présidentiel obscur qui a infligé à Biden sa première défaite de 2024 ?"""
194,"""Le Super Tuesday rapproche Trump de l'investiture républicaine alors que Haley pourrait faire son dernier baroud"""
195,"""Candidat démocrate à la présidentielle annonce des licenciements dans sa campagne, promet de rester dans la course : 'Journée vraiment difficile'"""
196,"""Le monde de Trump et les démocrates s'unissent pour se moquer de Nikki Haley après sa défaite face à 'littéralement personne' lors de la primaire du Nevada"""
197,"""Biden et Haley sont sur le bulletin de vote, mais pas Trump, alors que le Nevada organise des primaires présidentielles"""
198,"""Biden apprécie ses chances à Vegas après un raz-de-marée en Caroline du Sud alors qu'il se dirige vers une probable revanche contre Trump"""
199,"""Le président du DNC, Harrison, adresse un message à Nikki Haley : les démocrates de Caroline du Sud ne vont pas vous sauver."""
200,"""Les démocrates de Caroline du Sud devraient à nouveau soutenir Biden alors qu'ils lancent le calendrier des primaires du parti"""
201,"""Biden vise à renforcer le soutien des électeurs noirs alors qu'il cherche à se faire réélire à la Maison-Blanche"""
202,"""Biden devance Trump dans un nouveau sondage, mais son avance diminue face aux candidats de tiers partis"""
203,"""Le manque d'enthousiasme pour Biden parmi les démocrates du New Hampshire pourrait poser problème pour sa candidature à la réélection : stratèges"""
204,"""Biden remporte la primaire démocrate du New Hampshire après une campagne d'écriture"""
205,"""Dean Phillips dit qu'il 'résiste au DNC délirant' en contestant aux primaires le 'inéligible' Biden"""
206,"""La primaire du New Hampshire pourrait envoyer à Biden un message qu'il ne veut pas entendre"""
