English,French,German,Arabic,Chinese
Did Biden Wear a Hard Hat Backwards in Photo Op with Construction Workers?,« Biden a-t-il porté un casque à l'envers lors d'une séance photo avec des ouvriers du bâtiment ? »,"""Trug Biden bei einem Fototermin mit Bauarbeitern einen Schutzhelm verkehrt herum?""","""هل ارتدى بايدن خوذة السلامة بشكل مقلوب في جلسة تصوير مع عمال البناء؟""",“拜登在与建筑工人的合影中是否反戴了安全帽？”
"Did Elon Musk Endorse Biden, Come Out as Transgender and Die of Suicide?","« Elon Musk a-t-il soutenu Biden, fait son coming out en tant que transgenre et est-il mort par suicide ? »","„Hat Elon Musk Biden unterstützt, sich als transgender geoutet und Suizid begangen?“","""هل أيد إيلون ماسك بايدن، وأعلن عن كونه متحولًا جنسيًا وانتحر؟""",“埃隆·马斯克支持拜登、宣布变性并自杀身亡了吗？”
White House Emails Prove Biden 'Hid Deadly COVID Jab Risks from Public'?,« Les e-mails de la Maison-Blanche prouvent que Biden a 'caché les risques mortels du vaccin COVID au public' ? »,"""White-House-E-Mails beweisen, dass Biden 'tödliche COVID-Impfstoffrisiken vor der Öffentlichkeit verborgen hat'?""","""رسائل البريد الإلكتروني للبيت الأبيض تثبت أن بايدن 'أخفى مخاطر لقاح كوفيد القاتلة عن الجمهور'؟""",白宫电子邮件证明拜登“对公众隐瞒致命新冠疫苗风险”？
Staffer Tells Lost and Confused Biden He's Going Wrong Way in Capitol Building?,"""Un membre du personnel dit à Biden, perdu et confus, qu'il se trompe de chemin dans le Capitole ?""","""Mitarbeiter sagt verlorenem und verwirrtem Biden, dass er im Kapitolgebäude in die falsche Richtung geht?""","""موظف يخبر بايدن الضائع والمربك بأنه يسير في الاتجاه الخاطئ في مبنى الكابيتول؟""",工作人员告诉迷路且困惑的拜登，他在国会大厦走错了路？
Biden Says He Stood at Ground Zero the Day After 9/11,« Biden déclare qu'il était à Ground Zero le lendemain du 11 septembre »,"""Biden sagt, er stand am Tag nach dem 11. September am Ground Zero.""","""بايدن يقول إنه وقف في موقع جراوند زيرو في اليوم التالي لأحداث 11 سبتمبر""",拜登称他在9/11事件后的第二天站在零地。
Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”,"La stratégie de Biden est de ""faire entrer autant d'illégaux que possible dans le pays"" et de ""les légaliser pour créer une majorité permanente.""","The translation of the headline into German is:  
„Bidens Strategie ist es, „so viele Illegale wie möglich ins Land zu holen“ und „sie zu legalisieren, um eine dauerhafte Mehrheit zu schaffen.““","""استراتيجية بايدن هي ""إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"" و""تسوية أوضاعهم لخلق أغلبية دائمة"".""",拜登的策略是“尽可能多地让非法移民进入国家”，并“将他们合法化以创造永久多数”。
Democrats “used COVID to cheat” in the 2020 election.,"Les démocrates ont ""utilisé le COVID pour tricher"" lors de l'élection de 2020.","""Demokraten haben COVID genutzt, um bei der Wahl 2020 zu betrügen.""","""الديمقراطيون ""استخدموا كوفيد للغش"" في انتخابات 2020.""",民主党人在2020年选举中“利用新冠疫情作弊”。
Rep. Dean Phillips received almost twice as many votes as Biden did in the New Hampshire primary.,"""Le représentant Dean Phillips a reçu presque deux fois plus de voix que Biden lors de la primaire du New Hampshire.""","""Abgeordneter Dean Phillips erhielt fast doppelt so viele Stimmen wie Biden bei der Vorwahl in New Hampshire.""","""حصل النائب دين فيليبس على ما يقرب من ضعف عدد الأصوات التي حصل عليها بايدن في الانتخابات التمهيدية في نيو هامبشاير.""",“众议员迪恩·菲利普斯在新罕布什尔州初选中获得的选票几乎是拜登的两倍。”
Illegal immigrants now have the right to vote in New York.,"""Les immigrés illégaux ont désormais le droit de vote à New York.""","""Illegalen Einwanderern steht jetzt das Wahlrecht in New York zu.""","""للمهاجرين غير الشرعيين الآن الحق في التصويت في نيويورك.""",“非法移民现在在纽约拥有投票权。”
Nikki Haley “opposed Trump’s border wall” and “Trump’s travel ban.”,"""Nikki Haley s'est « opposée au mur frontalier de Trump » et à « l'interdiction de voyage de Trump ».""","""Nikki Haley war gegen Trumps Grenzmauer und Trumps Einreiseverbot.""","نيكي هايلي ""عارضت جدار ترامب الحدودي"" و""حظر السفر الذي فرضه ترامب"".",尼基·黑利“反对特朗普的边境墙”和“特朗普的旅行禁令”。
Nikki Haley is ineligible to be president or vice president.,"""Nikki Haley n'est pas éligible pour être présidente ou vice-présidente.""","""Nikki Haley ist nicht berechtigt, Präsidentin oder Vizepräsidentin zu werden.""","""نيكي هايلي غير مؤهلة لتكون رئيسة أو نائبة رئيس.""",“尼基·黑利无资格担任总统或副总统。”
"Melissa Agard
stated on October 17, 2023 in Public appearance: “Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”","""Mélissa Agard a déclaré le 17 octobre 2023 lors d'une apparition publique : « Depuis 1981, le Sénat de l'État n'a rejeté que cinq nominations exécutives. Le Parti républicain aujourd'hui double plus que ce nombre. »""",„Melissa Agard erklärte am 17. Oktober 2023 bei einem öffentlichen Auftritt: ‚Seit 1981 hat der Staatssenat nur fünf Exekutivnominierungen abgelehnt. Die Republikaner verdoppeln diese Zahl heute mehr als.‘“,"صرحت ميليسا أغارد في ظهور علني بتاريخ 17 أكتوبر 2023: ""منذ عام 1981، رفض مجلس شيوخ الولاية خمسة تعيينات تنفيذية فقط. اليوم، الحزب الجمهوري يضاعف هذا العدد بأكثر من الضعف.""",梅丽莎·阿加德在2023年10月17日的公开露面中表示：“自1981年以来，州参议院仅拒绝了五次行政任命。今天的共和党将这个数字增加了一倍多。”
"Paul Ryan stated on February 23, 2023 in TV interview: ""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”","Paul Ryan a déclaré le 23 février 2023 lors d'une interview télévisée : ""Les électeurs suburbains du comté de WOW (dans le Wisconsin) ne votent pas pour Donald Trump.""","Paul Ryan erklärte am 23. Februar 2023 in einem Fernsehinterview: ""Die Wähler in den Vororten der WOW-Countys (in Wisconsin) stimmen nicht für Donald Trump.""","""صرح بول رايان في مقابلة تلفزيونية بتاريخ 23 فبراير 2023: ""ناخبو الضواحي المتأرجحون في مقاطعة WOW (في ويسكونسن) لا يصوتون لدونالد ترامب.""""",保罗·瑞安在2023年2月23日的电视采访中表示：“威斯康星州WOW县的郊区摇摆选民不会投票给唐纳德·特朗普。”
"Ron DeSantis stated on January 2, 2024 in a town hall: Donald Trump “deported less, believe it or not, than Barack Obama even did.""","Ron DeSantis a déclaré le 2 janvier 2024 lors d'une réunion publique : Donald Trump ""a expulsé moins, croyez-le ou non, que Barack Obama lui-même.""","""Ron DeSantis erklärte am 2. Januar 2024 bei einer Bürgerversammlung: Donald Trump „hat, man mag es kaum glauben, weniger abgeschoben als sogar Barack Obama.“""","صرح رون ديسانتيس في اجتماع بلدي في 2 يناير 2024: ""صدق أو لا تصدق، دونالد ترامب قام بترحيل عدد أقل مما فعله باراك أوباما حتى.""",罗恩·德桑蒂斯在2024年1月2日的一次市政厅会议上表示：“不管你信不信，唐纳德·特朗普的驱逐人数甚至比巴拉克·奥巴马还少。”
"Nikki Haley stated on December 14, 2023 in a town hall in Atkinson, New Hampshire: “We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”","« Nikki Haley a déclaré le 14 décembre 2023 lors d'une assemblée publique à Atkinson, New Hampshire : ""Nous avons eu plus d'Américains morts de fentanyl que des guerres d'Irak, d'Afghanistan et du Vietnam réunies."" »","""Nikki Haley erklärte am 14. Dezember 2023 bei einer Bürgerversammlung in Atkinson, New Hampshire: „Wir haben mehr Amerikaner durch Fentanyl sterben sehen als in den Kriegen im Irak, in Afghanistan und in Vietnam zusammen.“""","صرحت نيكي هايلي في 14 ديسمبر 2023 في اجتماع بلدية في أتكينسون، نيو هامبشاير: ""لقد مات عدد أكبر من الأمريكيين بسبب الفنتانيل مقارنة بحروب العراق وأفغانستان وفيتنام مجتمعة.""",尼基·黑利于2023年12月14日在新罕布什尔州阿特金森的一场市政厅会议上表示：“死于芬太尼的美国人比伊拉克、阿富汗和越南战争的总和还多。”
"Chris Larson stated on September 10, 2021 in Twitter: The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.","Chris Larson a déclaré le 10 septembre 2021 sur Twitter : La législature contrôlée par le GOP a ""refusé d'agir sur au moins 150"" nominations du gouverneur Tony Evers.","Chris Larson erklärte am 10. September 2021 auf Twitter: Die von den Republikanern kontrollierte Legislative hat sich geweigert, über mindestens 150 Ernennungen von Gouverneur Tony Evers zu entscheiden.","صرح كريس لارسون في 10 سبتمبر 2021 على تويتر: ""رفضت الهيئة التشريعية التي يسيطر عليها الحزب الجمهوري اتخاذ إجراء بشأن ما لا يقل عن 150"" من المعينين من قبل الحاكم توني إيفرز.",克里斯·拉尔森于2021年9月10日在推特上表示：共和党控制的立法机构“拒绝对托尼·埃弗斯州长的至少150名被任命者采取行动”。
Joe Biden or Donald Trump dropped out of the 2024 presidential race as of Feb 15.,« Joe Biden ou Donald Trump s'est retiré de la course présidentielle de 2024 au 15 février. »,"""Joe Biden oder Donald Trump sind am 15. Februar aus dem Präsidentschaftsrennen 2024 ausgestiegen.""","""جو بايدن أو دونالد ترامب انسحب من السباق الرئاسي لعام 2024 اعتبارًا من 15 فبراير.""",截至2月15日，乔·拜登或唐纳德·特朗普退出2024年总统竞选。
"Elon Musk stated on February 2, 2024 in an X post: Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.","Elon Musk a déclaré le 2 février 2024 dans un post sur X : la stratégie de Biden est de ""faire entrer autant d'illégaux que possible dans le pays"" et de ""les légaliser pour créer une majorité permanente.""","Elon Musk erklärte am 2. Februar 2024 in einem X-Post: Bidens Strategie sei es, „so viele Illegale wie möglich ins Land zu holen“ und „sie zu legalisieren, um eine dauerhafte Mehrheit zu schaffen.“","إيلون ماسك صرّح في منشور على منصة X بتاريخ 2 فبراير 2024: ""استراتيجية بايدن هي إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"" و""تسوية أوضاعهم القانونية لخلق أغلبية دائمة.""",马斯克在2024年2月2日的一则X帖子中表示：拜登的策略是“尽可能多地让非法移民进入国家”，并“使他们合法化以创造永久多数”。
Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860,"« La dernière fois que les démocrates ont retiré un républicain du bulletin de vote, c'était Abraham Lincoln en 1860 »","„Das letzte Mal, dass die Demokraten einen Republikaner von der Wahlliste entfernten, war Abraham Lincoln im Jahr 1860.“",آخر مرة أزال فيها الديمقراطيون جمهورياً من الاقتراع كانت مع أبراهام لينكولن في عام 1860.,“上一次民主党将共和党人从选票中移除是在1860年的亚伯拉罕·林肯”
"Donald Trump stated on January 15, 2024 in a speech after the Iowa caucus: “This is the third time we’ve won but this is the biggest win” in Iowa caucus.""","« Donald Trump a déclaré le 15 janvier 2024 dans un discours après le caucus de l'Iowa : ""C'est la troisième fois que nous gagnons, mais c'est la plus grande victoire"" au caucus de l'Iowa. »","""Donald Trump erklärte am 15. Januar 2024 in einer Rede nach dem Caucus in Iowa: „Dies ist das dritte Mal, dass wir gewonnen haben, aber dies ist der größte Sieg“ im Iowa Caucus.""","""صرح دونالد ترامب في خطاب بعد تجمع آيوا في 15 يناير 2024: ""هذه هي المرة الثالثة التي نفوز فيها، لكن هذا هو أكبر فوز"" في تجمع آيوا.""",唐纳德·特朗普在2024年1月15日爱荷华州党团会议后的演讲中表示：“这是我们第三次获胜，但这是在爱荷华州党团会议中最大的一次胜利。”
"Donald Trump stated on December 16, 2023 in a rally in New Hampshire: “They want to make our Army tanks all electric.”",Donald Trump a déclaré le 16 décembre 2023 lors d'un rassemblement dans le New Hampshire : « Ils veulent rendre nos chars d'assaut entièrement électriques. »,"""Donald Trump erklärte am 16. Dezember 2023 bei einer Kundgebung in New Hampshire: „Sie wollen unsere Panzer alle elektrisch machen.“""","صرح دونالد ترامب في تجمع في نيو هامبشاير يوم 16 ديسمبر 2023: ""إنهم يريدون جعل دبابات جيشنا كهربائية بالكامل.""",唐纳德·特朗普于2023年12月16日在新罕布什尔州的一次集会上表示：“他们想让我们的军队坦克全部电动化。”
"Donald Trump stated on December 4, 2023 in a Truth Social post: The Lincoln Project is “using A.I. (Artificial Intelligence)” in its “television commercials.",Donald Trump a déclaré le 4 décembre 2023 dans un message sur Truth Social : Le Lincoln Project utilise l'IA (intelligence artificielle) dans ses « publicités télévisées ».,Donald Trump erklärte am 4. Dezember 2023 in einem Truth Social-Beitrag: Das Lincoln Project verwendet „KI (Künstliche Intelligenz)“ in seinen „Fernsehwerbespots“.,"دونالد ترامب صرح في منشور على منصة تروث سوشيال بتاريخ 4 ديسمبر 2023: مشروع لينكولن ""يستخدم الذكاء الاصطناعي"" في ""إعلاناته التلفزيونية"".",唐纳德·特朗普在2023年12月4日的一则Truth Social帖子中表示：“林肯计划”在其“电视广告”中“使用人工智能（A.I.）”。
"On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”","""Le 7 novembre 2023, les machines à voter en Pennsylvanie « inversaient les votes », ce qui est une preuve de « fraude électorale ».""","Am 7. November 2023 haben Wahlmaschinen in Pennsylvania Stimmen „umgedreht“, was ein Beweis für „Wahlbetrug“ ist.","في 7 نوفمبر 2023، كانت آلات التصويت في بنسلفانيا ""تقلب الأصوات""، وهو دليل على ""تزوير الانتخابات"".",2023年11月7日，宾夕法尼亚州的投票机出现“翻转选票”现象，这是“选举舞弊”的证据。
Did Putin Say He Preferred Biden to Trump in the 2024 US Presidential Election?,« Poutine a-t-il dit qu'il préférait Biden à Trump pour l'élection présidentielle américaine de 2024 ? »,"„Hat Putin gesagt, er bevorzuge Biden gegenüber Trump bei der US-Präsidentschaftswahl 2024?“","""هل قال بوتين إنه يفضل بايدن على ترامب في الانتخابات الرئاسية الأمريكية لعام 2024؟""",“普京是否表示在2024年美国总统选举中更喜欢拜登而不是特朗普？”
"Roy Cooper stated on August 24, 2023 in a veto statement: ""GOP-authored elections bill “requires valid votes to be tossed out … if a computer rejects a signature.","Roy Cooper a déclaré le 24 août 2023 dans une déclaration de veto : ""Le projet de loi électoral rédigé par le GOP exige que des votes valides soient rejetés ... si un ordinateur rejette une signature.""","Roy Cooper erklärte am 24. August 2023 in einer Veto-Erklärung: ""Das von der GOP verfasste Wahlgesetz verlangt, dass gültige Stimmen verworfen werden, wenn ein Computer eine Unterschrift ablehnt.""","""صرح روي كوبر في بيان فيتو بتاريخ 24 أغسطس 2023: ""مشروع قانون الانتخابات الذي أعده الجمهوريون يتطلب إلغاء الأصوات الصحيحة ... إذا رفض الكمبيوتر توقيعًا.""",罗伊·库珀在2023年8月24日的否决声明中表示：“共和党起草的选举法案‘要求在计算机拒绝签名的情况下丢弃有效选票’。”
"Donald Trump stated on August 15, 2023 in a Truth Social post: ""Fulton County District Attorney Fani Willis “campaigned and raised money on, ‘I will get Trump.","Donald Trump a déclaré le 15 août 2023 dans un message sur Truth Social : ""La procureure du comté de Fulton, Fani Willis, a fait campagne et collecté des fonds en disant : 'Je vais avoir Trump.'""","Donald Trump erklärte am 15. August 2023 in einem Truth Social-Beitrag: ""Die Bezirksstaatsanwältin von Fulton County, Fani Willis, hat mit dem Slogan 'Ich werde Trump kriegen' Wahlkampf gemacht und Geld gesammelt.""","صرح دونالد ترامب في منشور على منصة تروث سوشيال بتاريخ 15 أغسطس 2023: ""المدعية العامة لمقاطعة فولتون فاني ويليس ""قامت بحملة وجمعت الأموال على أساس 'سأحصل على ترامب'.""",唐纳德·特朗普在2023年8月15日的Truth Social帖子中表示：“富尔顿县地方检察官法尼·威利斯‘以我要抓特朗普’为口号进行竞选并筹集资金。”
Police report shows “massive 2020 voter fraud uncovered in Michigan.”,"The translation of the headline into French is: ""Un rapport de la police révèle une « fraude électorale massive de 2020 découverte dans le Michigan ».""","The translation of the headline into German is:  
""Polizeibericht zeigt „massiven Wählerbetrug 2020 in Michigan aufgedeckt“.""","تقرير الشرطة يكشف عن ""تزوير ضخم في تصويت 2020 تم اكتشافه في ميشيغان"".",警方报告显示“2020年密歇根州大规模选民欺诈被揭露”。
"Rep. Alexandria Ocasio-Cortez “faces 5 Years in Jail For FEC Crimes.""","The headline in French would be: ""La représentante Alexandria Ocasio-Cortez risque 5 ans de prison pour des infractions à la FEC.""","The headline ""Rep. Alexandria Ocasio-Cortez “faces 5 Years in Jail For FEC Crimes."""" can be translated into German as:

""Abgeordnete Alexandria Ocasio-Cortez drohen 5 Jahre Haft wegen FEC-Verbrechen.""","""النائبة ألكساندريا أوكاسيو-كورتيز تواجه عقوبة السجن لمدة 5 سنوات بسبب جرائم لجنة الانتخابات الفيدرالية.""","""众议员亚历山德里娅·奥卡西奥-科尔特斯因联邦选举委员会犯罪面临5年监禁。"""
Arizona BANS Electronic Voting Machines.,"""L'Arizona INTERDIT les machines à voter électroniques.""","""Arizona VERBIETET elektronische Wahlmaschinen.""","""أريزونا تحظر آلات التصويت الإلكترونية.""","""亚利桑那州禁止电子投票机。"""
"An Arizona judge was “forced to overturn” an election and ruled “274,000 ballots must be thrown out.”","Un juge de l'Arizona a été ""contraint d'annuler"" une élection et a décidé que ""274 000 bulletins de vote doivent être rejetés"".","Ein Richter in Arizona wurde „gezwungen, eine Wahl aufzuheben“ und entschied, dass „274.000 Stimmzettel verworfen werden müssen“.","قاضٍ في أريزونا ""أُجبر على إلغاء"" انتخابات وحكم بأن ""274,000 بطاقة اقتراع يجب التخلص منها.""","""亚利桑那州一名法官被“迫使推翻”选举，并裁定“必须作废274,000张选票。”"""
"Donald Trump stated on April 30, 2023 in a Truth Social post: ""A Florida elections bill “guts everything” “instead of getting tough, and doing what the people want (same day voting, Voter ID, proof of Citizenship, paper ballots, hand count, etc.).”""","Donald Trump a déclaré le 30 avril 2023 dans un message sur Truth Social : ""Un projet de loi électorale en Floride « sabote tout » « au lieu de se montrer ferme et de faire ce que le peuple veut (vote le jour même, pièce d'identité de l'électeur, preuve de citoyenneté, bulletins papier, comptage manuel, etc.). »""","Donald Trump erklärte am 30. April 2023 in einem Truth Social-Beitrag: ""Ein Wahlgesetz in Florida „zerstört alles“, „anstatt hart durchzugreifen und das zu tun, was die Menschen wollen (Wählen am selben Tag, Wählerausweis, Nachweis der Staatsbürgerschaft, Stimmzettel aus Papier, manuelle Auszählung usw.).“""","""صرح دونالد ترامب في منشور على منصة تروث سوشيال بتاريخ 30 أبريل 2023: ""مشروع قانون الانتخابات في فلوريدا ""يقضي على كل شيء"" ""بدلاً من أن يكون صارماً ويفعل ما يريده الناس (التصويت في نفس اليوم، هوية الناخب، إثبات الجنسية، بطاقات الاقتراع الورقية، العد اليدوي، إلخ).""",唐纳德·特朗普在2023年4月30日的一则Truth Social帖子中表示：“一项佛罗里达州选举法案‘削弱了一切’，‘而不是变得强硬，做人民想要的事情（同日投票、选民身份证明、公民身份证明、纸质选票、人工计票等）’。”
Joe Biden’s tweet is proof that a helicopter crash that killed six Nigerian billionaires was planned by Biden.,Le tweet de Joe Biden prouve qu'un crash d'hélicoptère ayant tué six milliardaires nigérians a été planifié par Biden.,"""Joe Bidens Tweet ist der Beweis, dass ein Hubschrauberabsturz, bei dem sechs nigerianische Milliardäre ums Leben kamen, von Biden geplant wurde.""","""تغريدة جو بايدن دليل على أن حادث تحطم المروحية الذي أودى بحياة ستة مليارديرات نيجيريين كان مخططًا له من قبل بايدن.""",乔·拜登的推文证明导致六名尼日利亚亿万富翁遇难的直升机坠毁事件是拜登策划的。
"Donald Trump stated on January 2, 2024 in a Truth Social post: ""In actuality, there is no evidence Joe Biden won” the 2020 election, citing a report’s allegations from five battleground states.""","Donald Trump a déclaré le 2 janvier 2024 dans un message sur Truth Social : ""En réalité, il n'y a aucune preuve que Joe Biden a gagné"" l'élection de 2020, citant les allégations d'un rapport provenant de cinq États clés.","Donald Trump erklärte am 2. Januar 2024 in einem Truth Social-Beitrag: „Tatsächlich gibt es keine Beweise dafür, dass Joe Biden die Wahl 2020 gewonnen hat“, unter Berufung auf die Anschuldigungen eines Berichts aus fünf umkämpften Bundesstaaten.","""دونالد ترامب صرح في منشور على منصة تروث سوشيال بتاريخ 2 يناير 2024: ""في الواقع، لا يوجد دليل على أن جو بايدن فاز"" في انتخابات 2020، مستشهداً بادعاءات تقرير من خمس ولايات متأرجحة.""",唐纳德·特朗普在2024年1月2日的一则Truth Social帖子中表示：“实际上，没有证据表明乔·拜登赢得了2020年大选”，并引用了一份报告中关于五个关键州的指控。
Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,"""L'administratrice des élections du Wisconsin, Meagan Wolfe, a « permis l'influence de l'argent 'Zuckerbucks'. »""","""Wisconsins Wahlleiterin Meagan Wolfe „erlaubte den Einfluss des 'Zuckerbucks'-Geldes.“""","مديرة الانتخابات في ويسكونسن ميغان وولف ""سمحت بتأثير أموال 'زوكرباكس'.""",威斯康星州选举管理员梅根·沃尔夫“允许‘扎克伯格资金’影响选举。”
