News_ID,Ground_Truth,democrat,Republican,Neutral,TPN_GR_GR_implicit_Neu,TPN_FR_FR_implicit_Neu,TPN_CH_CH_implicit_Neu,TPN_AR_AR_implicit_Neu
160,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1
162,1,1,1,1,1,1,1,1
163,1,0,0,0,1,0,0,0
164,1,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1,1
166,1,0,0,0,0,0,0,0
167,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1
169,1,1,1,1,1,0,1,1
170,1,1,1,1,1,1,1,1
171,1,1,1,1,1,1,1,1
172,1,1,1,1,1,1,1,1
173,1,1,1,1,1,1,1,1
174,1,0,0,0,0,0,0,0
175,1,1,1,1,1,1,1,1
176,1,1,1,1,1,0,1,1
177,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1
180,1,1,1,1,1,1,1,1
181,1,e,1,1,1,1,1,1
182,1,0,1,1,0,0,1,1
183,1,0,1,1,1,0,1,1
184,1,1,1,1,1,1,1,1
185,1,1,1,1,1,1,1,1
186,1,1,1,1,0,1,1,1
187,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1
193,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1
199,1,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1
211,1,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1
215,1,1,1,1,1,1,1,1
216,1,1,1,1,0,1,1,1
217,1,1,1,1,1,1,1,1
218,1,1,1,1,1,1,1,0
219,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,0
223,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1,1
226,1,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1,1
229,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1
231,0,0,0,0,1,0,1,1
232,1,0,0,0,0,1,1,1
233,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,1,0
235,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
237,0,0,0,0,e,0,0,0
238,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,1,1
240,0,1,1,1,1,0,0,1
241,0,0,0,0,0,0,1,0
242,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,1,0
244,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
246,0,1,1,1,1,1,1,1
247,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
249,1,0,1,0,e,e,0,0
250,0,0,0,0,0,0,0,0
251,1,1,1,1,e,1,1,1
252,1,0,0,0,0,0,0,0
253,1,1,1,1,1,1,1,1
254,1,1,1,1,1,1,1,1
255,1,1,1,1,e,1,1,1
256,1,1,1,1,1,1,1,1
257,1,1,1,1,1,1,1,1
258,1,1,0,1,1,1,1,1
259,1,1,1,1,0,1,1,1
260,1,1,1,1,1,1,1,1
261,1,1,1,1,e,1,1,1
262,1,1,1,1,e,1,1,e
263,1,0,0,1,e,1,1,1
264,1,0,0,0,1,1,1,0
265,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,0,0,0,0,1,1,1,1
272,0,0,0,0,0,0,0,0
273,0,0,0,0,0,1,1,1
274,0,0,0,0,0,0,0,1
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,1,0
279,0,0,0,0,0,0,0,1
280,0,0,0,0,0,0,0,0
281,0,0,1,1,1,0,0,0
282,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0
284,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1,1
286,0,0,0,0,0,0,0,0
287,1,0,0,0,0,1,0,1
288,1,1,1,1,1,1,1,1
289,0,0,0,0,0,0,0,0
290,1,1,1,1,1,1,1,1
291,1,1,1,1,1,1,1,1
292,1,0,0,0,0,0,1,0
293,0,0,0,0,0,0,0,0
294,1,1,1,1,1,1,1,1
295,0,1,1,1,1,1,1,1
296,1,1,1,0,1,0,1,0
297,0,0,0,0,0,0,0,0
298,0,0,1,1,0,1,0,0
299,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0
301,0,1,1,0,1,1,1,1
302,0,0,0,0,0,0,0,0
303,0,0,0,0,1,0,0,1
304,1,1,1,1,1,1,1,1
305,0,0,0,0,0,0,0,0
306,1,1,1,1,1,1,1,1
307,0,0,0,0,0,0,1,1
308,0,1,1,1,1,1,1,1
309,1,0,1,0,1,1,0,0
310,0,0,0,0,0,0,0,0
311,0,1,1,1,1,1,1,1
312,1,1,1,0,1,0,1,1
313,0,0,0,0,0,0,0,0
314,1,1,1,1,0,0,1,0
315,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,1,1
317,1,1,1,1,1,1,1,1
318,0,1,1,1,1,1,1,1
319,0,0,0,0,0,0,0,0
320,1,1,1,1,1,1,1,1
321,1,1,1,1,1,0,1,1
322,1,1,1,1,1,1,1,1
323,0,0,0,0,0,0,0,0
324,0,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1
326,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0
328,0,0,0,0,1,1,0,1
329,0,0,0,0,0,0,0,0
330,0,1,0,0,0,0,0,1
331,0,0,0,0,0,0,0,1
332,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0
334,1,1,1,1,1,1,1,1
335,0,1,1,1,1,1,1,1
336,1,1,1,1,1,1,1,1
337,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0
339,1,1,1,1,1,1,1,1
340,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0
342,1,1,1,1,1,1,1,1
343,1,0,0,0,0,1,1,e
344,1,1,1,1,1,1,1,0
345,0,0,0,0,1,0,0,0
346,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,1,0
348,0,1,1,1,1,1,1,1
349,0,0,0,0,0,0,1,1
