News_ID,Ground_Truth,democrat,Republican,Neutral,TPN_GR_GR_implicit_Neu,TPN_FR_FR_implicit_Neu,TPN_CH_CH_implicit_Neu,TPN_AR_AR_implicit_Neu
125,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,0,0
128,1,1,1,1,0,1,1,0
129,1,1,1,1,1,1,1,1
130,1,1,1,1,0,1,1,1
131,1,1,1,1,0,1,1,1
132,1,1,1,1,0,1,1,1
133,1,1,1,1,0,1,1,1
134,1,1,1,0,0,1,0,0
135,1,1,1,1,1,1,1,0
136,1,1,1,1,0,1,1,0
137,1,1,0,1,0,1,0,0
138,1,0,0,0,0,0,0,0
139,1,1,1,1,0,1,0,0
140,1,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1,1
142,1,0,1,1,1,1,0,0
143,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1
146,1,0,0,0,0,0,0,0
147,1,1,1,1,1,1,1,1
148,1,1,1,1,0,1,0,0
149,1,0,0,0,0,0,0,0
150,1,1,1,1,1,1,0,0
151,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1
154,1,1,1,1,0,0,1,0
155,1,1,1,1,1,1,0,0
156,1,1,1,1,0,1,0,0
157,1,1,1,1,0,0,1,1
158,1,1,1,1,0,1,0,1
159,1,1,1,1,1,0,0,0
160,1,1,1,1,1,1,0,0
161,1,1,1,1,1,1,0,1
162,1,1,1,1,1,1,0,1
163,1,0,0,0,0,0,0,0
164,1,1,1,1,1,1,1,1
165,1,0,0,0,0,1,0,0
166,1,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0,0
168,1,1,1,1,1,1,1,1
169,1,1,0,0,1,1,0,0
170,1,1,1,1,0,1,1,0
171,1,0,0,0,0,1,0,0
172,1,1,1,1,1,1,1,1
173,1,1,1,1,1,0,0,0
174,1,0,0,0,0,0,0,0
175,1,1,1,1,1,1,0,0
176,1,0,0,0,0,0,0,0
177,1,1,1,1,1,1,1,1
178,1,1,1,1,0,0,0,0
179,1,1,1,1,1,1,1,1
180,1,1,1,1,1,1,1,0
181,1,0,0,0,0,0,0,0
182,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,e,1
184,1,1,1,1,0,1,1,1
185,1,1,1,1,1,1,1,1
186,1,0,1,1,0,1,0,0
187,1,1,1,1,1,1,1,1
188,1,1,1,1,0,1,0,1
189,1,1,1,1,1,1,0,0
190,1,1,1,1,1,1,1,1
191,1,0,0,1,0,0,1,0
192,1,1,1,1,1,1,1,1
193,1,1,1,1,0,1,1,0
194,1,1,1,1,1,1,1,1
195,1,1,1,1,0,1,0,0
196,1,1,1,1,1,1,0,1
197,1,1,1,1,1,1,0,0
198,1,1,1,1,0,1,1,0
199,1,1,1,1,0,1,1,0
200,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1
202,1,1,1,1,e,1,1,1
203,1,1,1,1,1,1,1,1
204,1,1,1,1,1,1,0,1
205,1,1,1,1,1,1,1,1
206,1,1,1,1,0,1,0,0
207,1,0,0,1,0,1,0,0
208,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,0,0
210,1,1,1,1,0,1,1,0
211,1,1,1,1,0,1,0,0
212,1,1,1,1,1,1,e,1
213,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1
215,1,1,1,1,0,1,0,0
216,1,1,1,1,0,0,0,0
217,1,1,1,1,1,1,0,0
218,1,1,1,1,0,0,0,0
219,1,1,1,1,1,1,1,0
220,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,0,0
222,1,1,1,1,1,1,0,1
223,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1,1
226,1,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1,1
229,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1
231,0,0,0,0,0,1,0,0
232,1,1,1,1,1,1,1,1
233,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
237,0,0,0,0,1,1,0,0
238,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
240,0,0,0,0,0,1,0,0
241,0,0,0,0,1,0,0,1
242,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
246,0,1,1,1,1,1,1,0
247,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
249,1,1,1,1,1,1,1,1
250,0,0,0,0,0,0,0,0
251,1,1,1,1,0,0,0,0
252,1,0,0,0,0,0,0,0
253,1,1,1,1,0,0,0,0
254,1,1,1,1,1,1,1,1
255,1,1,0,1,0,0,0,0
256,1,0,0,0,0,0,0,0
257,1,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1,0
259,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,0,0
261,1,0,1,0,0,0,0,0
262,1,1,1,1,1,1,0,0
263,1,1,1,1,0,1,1,0
264,1,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,0,0,0,0,0,1,0,0
272,0,0,0,0,0,0,0,0
273,0,0,0,0,0,1,0,0
274,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,1,0
279,0,0,0,0,0,0,0,0
280,0,0,0,0,1,0,0,0
281,0,1,1,1,1,0,1,0
282,0,1,1,1,1,1,0,1
283,0,0,0,0,0,0,0,0
284,1,0,0,0,0,0,0,0
285,1,0,0,0,1,0,0,0
286,0,0,0,0,0,0,0,0
287,1,0,0,0,0,0,0,0
288,1,1,1,1,0,1,0,0
289,0,0,0,0,0,0,0,0
290,1,1,1,1,0,1,0,0
291,1,1,1,1,0,1,1,0
292,1,0,0,0,0,1,0,0
293,0,0,0,0,0,0,0,0
294,1,0,0,0,0,0,0,0
295,0,0,0,0,0,1,0,0
296,1,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0
298,0,1,0,1,0,0,0,0
299,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0
301,0,0,1,0,0,1,0,0
302,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0
304,1,0,0,0,1,0,0,0
305,0,0,0,0,0,0,0,0
306,1,1,1,1,1,1,1,1
307,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0
309,1,0,0,0,0,0,0,0
310,0,0,0,0,0,1,0,0
311,0,1,1,1,0,1,0,0
312,1,1,1,1,0,0,0,0
313,0,0,0,0,0,0,0,0
314,1,0,0,1,0,0,0,0
315,0,0,0,0,0,0,0,0
316,0,0,1,0,0,0,0,0
317,1,1,1,1,1,1,1,1
318,0,1,1,1,0,1,0,1
319,0,0,0,0,0,0,0,0
320,1,1,1,1,0,0,0,0
321,1,0,0,0,0,0,0,0
322,1,1,1,1,1,1,1,1
323,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,1,1,1,1,1,1,0,0
326,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0
328,0,0,0,0,0,1,0,0
329,0,0,0,0,0,0,0,0
330,0,1,1,1,1,1,0,1
331,0,1,1,e,1,1,1,1
332,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0
334,1,1,1,1,0,1,0,1
335,0,1,1,1,1,1,1,1
336,1,0,0,0,0,0,0,0
337,0,0,0,0,0,1,0,0
338,0,0,0,0,0,0,0,0
339,1,1,1,1,1,1,1,0
340,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0
342,1,0,0,1,0,1,0,0
343,1,0,0,0,0,1,0,0
344,1,1,1,1,1,1,1,0
345,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0
348,0,1,0,0,1,1,0,0
349,0,0,0,0,0,0,0,0
