News_ID,Ground_Truth,democrat,Republican,Neutral,TP_GR_En_implicit_Neu,TP_FR_En_implicit_Neu,TP_CH_En_implicit_Neu,TP_Ar_En_implicit_Neu
109,1,1,1,e,1,1,1,1
110,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1
122,1,0,1,1,1,1,1,1
123,1,1,1,1,e,1,1,1
124,1,e,e,e,e,1,1,1
125,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1
127,1,0,1,1,1,1,1,1
128,1,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1,1
130,1,1,1,0,1,1,1,0
131,1,1,1,e,e,1,1,1
132,1,1,1,1,1,1,1,1
133,1,1,1,0,1,1,1,1
134,1,e,e,0,e,1,1,1
135,1,0,0,0,1,1,0,1
136,1,1,1,1,1,1,1,1
137,1,0,1,1,1,1,1,1
138,1,0,0,0,0,0,0,0
139,1,1,1,1,1,1,1,1
140,1,1,1,0,1,1,1,1
141,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1
146,1,e,e,0,e,1,1,e
147,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1
149,1,0,0,0,0,0,0,0
150,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1
154,1,1,e,1,1,1,1,1
155,1,1,1,1,1,1,1,1
156,1,1,e,0,1,1,1,1
157,1,1,1,1,1,1,1,1
158,1,1,1,1,1,1,1,1
159,1,1,1,1,1,1,1,1
160,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1
162,1,1,1,0,1,1,1,1
163,1,0,0,0,0,0,0,0
164,1,1,1,1,1,1,1,1
165,1,0,0,0,0,0,0,0
166,1,0,0,0,e,0,0,0
167,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1
169,1,1,1,0,1,1,1,1
170,1,1,1,1,1,1,1,1
171,1,1,1,1,1,1,1,1
172,1,1,1,1,1,1,1,1
173,1,e,1,1,e,1,1,1
174,1,0,0,0,0,0,0,0
175,1,1,1,1,1,1,1,1
176,1,0,e,0,0,1,0,0
177,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1
180,1,0,1,1,1,1,1,1
181,1,0,1,0,1,1,0,0
182,1,1,1,1,1,1,1,1
183,1,0,1,0,1,1,1,1
184,1,e,1,1,1,1,1,1
185,1,1,1,1,1,1,1,1
186,1,1,1,1,1,1,1,1
187,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1
189,1,0,0,0,0,1,0,0
190,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1
193,1,e,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1
195,1,1,1,0,e,1,1,1
196,1,1,1,0,0,0,0,1
197,1,0,1,0,e,1,1,0
198,1,1,1,1,1,1,1,1
199,1,e,e,1,1,1,1,1
200,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1,1
207,1,1,1,1,e,1,1,1
208,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1
211,1,e,1,1,e,1,1,1
212,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,1
214,1,1,1,0,1,1,1,1
215,1,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1,1
217,1,1,1,1,1,1,1,1
218,1,0,e,0,0,0,0,0
219,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1
221,1,e,1,1,1,1,1,1
222,1,0,1,0,0,0,0,0
223,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1,1
226,1,1,1,0,1,1,1,1
227,1,1,1,1,1,1,1,1
228,1,1,1,0,1,1,1,1
229,1,1,1,0,1,1,0,1
230,1,1,1,1,1,1,1,1
231,0,e,1,0,e,0,0,0
232,1,0,1,1,1,1,1,1
233,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
240,0,0,0,0,0,1,1,1
241,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
243,0,e,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
246,0,0,0,1,1,1,1,0
247,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
249,1,e,1,1,e,1,0,1
250,0,0,0,e,e,0,0,0
251,1,1,1,1,1,1,1,1
252,1,0,0,0,0,0,0,0
253,1,0,0,0,0,0,0,0
254,1,1,1,1,1,1,1,1
255,1,e,1,e,e,e,1,1
256,1,0,0,0,e,1,0,1
257,1,1,1,1,1,1,1,1
258,1,0,0,0,0,0,0,0
259,1,0,0,0,0,0,0,0
260,1,1,1,1,e,1,1,1
261,1,e,1,0,1,1,0,1
262,1,e,0,0,1,1,1,1
263,1,e,1,1,1,1,1,1
264,1,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0
268,0,e,1,0,0,0,0,0
269,0,e,e,e,e,e,0,1
270,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0
273,0,e,e,0,e,0,0,0
274,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,1
280,0,0,0,0,0,0,0,0
281,0,e,e,e,e,1,1,1
282,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0
284,1,0,0,0,0,0,0,0
285,1,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0
287,1,0,0,0,0,0,0,0
288,1,e,1,1,1,1,1,1
289,0,0,0,0,0,0,0,0
290,1,0,0,0,0,0,0,0
291,1,1,1,0,0,0,1,1
292,1,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0
294,1,1,1,0,0,1,1,1
295,0,e,0,0,0,0,0,0
296,1,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,1
299,0,0,0,0,0,1,0,0
300,0,0,0,0,0,0,0,0
301,0,1,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0
304,1,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0
306,1,1,1,1,1,1,1,1
307,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0
309,1,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0
312,1,1,1,1,1,1,1,1
313,0,0,0,0,0,0,0,0
314,1,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0
317,1,1,1,1,1,1,1,1
318,0,1,1,1,1,1,1,1
319,0,0,0,0,0,0,0,0
320,1,0,1,0,1,0,0,1
321,1,0,0,0,0,0,0,0
322,1,1,1,1,1,1,1,1
323,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,1,1,1,1,1,1,1,1
326,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0
330,0,1,1,1,1,1,1,1
331,0,1,1,0,1,0,0,0
332,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0
334,1,1,1,1,1,1,1,1
335,0,0,1,0,0,0,1,1
336,1,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0
339,1,1,1,1,1,1,1,1
340,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0
342,1,0,1,0,1,1,1,1
343,1,1,1,1,0,0,0,0
344,1,0,0,0,0,0,0,0
345,0,1,1,1,1,0,1,1
346,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0
348,0,1,1,0,0,0,0,0
349,0,0,0,0,0,0,0,0
